time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.0668639647586,0.085203537516,1.873116177,0.0375491666645,6.25261288649,0.0,0.1915517666,0.239651758556,2.42492790866,0.0252669492074,0.0113900087061,0.0,439.13111533130757,439.2880211685,439.46499843717027,438.24527807839826
1.3800000000000008,0.0790813745485,0.100482762177,2.0247633028,0.0389559073409,6.25272865607,0.0,0.215612711355,0.269809474502,2.62951890801,0.0195292136543,-0.0346771326976,0.0,476.9062588751959,473.3746344529753,474.40862207217367,473.9678857238211
1.4400000000000008,0.0926590658675,0.117485375088,2.18566966301,0.0403970252225,6.25092732341,0.0,0.237166533116,0.297068243548,2.73376566689,0.0317516158812,-0.0220438676931,0.0,444.9887014332515,446.02133296889036,444.39060551793546,445.3914087776165
1.5000000000000009,0.107614159844,0.136217776949,2.3543521467,0.0422495757751,6.24971510117,0.0,0.261462482459,0.32753469975,2.88858530431,0.029064444034,-0.0167566344661,0.0,461.2453361478382,461.662738712522,461.296521265987,461.08456436486847
1.560000000000001,0.124039947838,0.156802750205,2.5319424258,0.0443017851151,6.24865230969,0.0,0.286161958157,0.358820426962,3.03070407964,0.0428874022074,-0.0196982927979,0.0,458.6416773037201,458.40806179895054,457.5171496183424,458.6168236436899
1.620000000000001,0.141791539069,0.179081555717,2.71289982018,0.0470146620954,6.24794553692,0.0,0.305634376856,0.384027101374,3.00126794566,0.0495029436825,0.000617974498765,0.0,402.24412056508237,404.07987208000054,403.625832707784,404.22385637969757
1.680000000000001,0.160992382518,0.20328683531,2.89981313241,0.0501145897753,6.24786443335,0.0,0.334372232725,0.423150885638,3.228532728,0.0556718814807,-0.00561525821862,0.0,484.50435540012523,484.03552179675575,483.9378406932553,484.40343479297394
1.740000000000001,0.181728733746,0.229642749865,3.09496377789,0.0535020168941,6.24818694801,0.0,0.356827397147,0.455687316397,3.27632690894,0.0579824678175,0.0213139018643,0.0,429.8633355773244,432.13934367926464,430.3743856309411,430.57220039866877
1.8000000000000012,0.203862819909,0.25811225185,3.29475518713,0.0573412999407,6.24934646504,0.0,0.380835765667,0.493655576412,3.38304868003,0.0738864293023,0.0150180598956,0.0,449.61671128732695,449.106288301174,449.5895517769247,450.8791919718623
1.8600000000000012,0.227616112278,0.289292021967,3.50694394537,0.0617380884995,6.25049946537,0.0,0.41076823789,0.546196974475,3.68892511901,0.072038800208,0.0265123976478,0.0,507.4271514863465,508.2515489908868,509.47339574794364,509.3446950159059
